CellType	Log	Raw
End	0.08534561739292461	1.2171542430507547
ExDp2	0.13351306824733566	1.3599190836560695
ExM-U	0.11180315355433754	1.2936093727392548
InCGE	0.08309894868308344	1.2108739849441748
IP	0.10171497345067916	1.2639065760014407
OPC	0.12680300759385738	1.339069158890976
Per	0.10055363461982347	1.26053130172482
PgS	0.14498481439368907	1.396319536282977
ExDp1	0.11808434222990193	1.312454759759061
ExM	0.11804739528045337	1.3123431093948879
ExN	0.08749053580968046	1.2231804630841796
InMGE	0.08938193595352609	1.2285191651554377
Mic	0.0715887197771026	1.179203392011825
oRG	0.12867635502904418	1.3448577655087273
PgG2M	0.15728953974607426	1.4364467787557338
vRG	0.11193425355617065	1.29399993213636
